SrNo.,SchemeId,LocationId,District,Taluka,Name of Schemes,Region,Type,OSL,FRL,PWL,Design Storage in MCM,,,Present Storage in MCM,,,PercentageFilling %,RF,CRF,Type ofWarning,InflowinCusecs,OutflowRiverinCusecs,outflowCanalinCusecs
,,,,,,,,,,,Gross,Live,Dead,Gross,Live,Dead,,,,,,,
52,50,192,Kachchh,Nakhatrana,Niruna,Kutch,UG,34.44,43.58,35,27.17,22.98,4.19,4.98,0.79,4.19,18.33%,0,137,NIL,170,0,0
61,59,187,Kachchh,Rapar,Fatehgadh,Kutch,UG,19.5,22.7,21.4,4.04,3.99,0.05,1.36,1.30,0.05,33.66%,15,80,NIL,0,0,0
57,55,188,Kachchh,Rapar,Suvi,Kutch,UG,38.1,42.67,41,8.85,8.13,0.71,3.94,3.23,0.71,44.52%,0,234,NIL,0,0,0
26,202,42,Kheda,Kapadvanj,Varansi,CG,G,78,81,76.43,3.18,2.62,0.56,0.20,0.00,0.20,6.29%,0,166,NIL,0,0,0
10,13,32,Mahesana,Satlasana,Dharoi,NG,G,175.87,189.59,186.29,813.14,745.63,67.51,506.20,438.69,67.51,62.25%,28,559,NIL,1968,0,0
28,12,28,Mahisagar,Balasinor,Wanakbori,CG,UG,60.05,67.3,67.51,41.88,36.22,5.66,41.88,36.22,5.66,100%,0,193,NIL,2354,2054,300
30,17,19,Mahisagar,Kadana,Kadana,CG,G,99.06,127.71,120.42,1249.30,1191.70,57.60,615.62,558.02,57.60,49.28%,3,197,NIL,5462,0,0
27,19,20,Mahisagar,Khanpur,Bhadar (P),CG,G,110.95,123.72,116.3,30.95,29.23,1.72,7.78,6.06,1.72,25.14%,0,170,NIL,0,0,0
29,14,27,Mahisagar,Lunawada,Panam,CG,G,106.68,127.41,125.1,578.19,552.97,25.22,432.22,407.00,25.22,74.75%,0,348,WARNING,3725,3747,0
153,189,184,Morbi,Halvad,Brahmani,Sau,UG,56.39,64.62,64.62,58.33,56.29,2.04,58.33,56.29,2.04,100%,0,143,HIGHALERT,0,0,0
154,200,185,Morbi,Halvad,Brahmani-II,Sau,G,39.15,44.5,42.95,19.80,18.50,1.30,11.15,9.85,1.30,56.31%,20,165,NIL,0,0,0
158,112,177,Morbi,Morbi,Demi - III,Sau,G,21.65,25.6,19.35,9.60,8.47,1.13,0.26,0.00,0.26,2.71%,20,180,NIL,0,0,0
156,166,182,Morbi,Morbi,Ghodadhroi,Sau,G,93.12,98.3,97.9,6.88,5.55,1.33,6.32,4.99,1.33,91.86%,0,165,HIGHALERT,0,0,0
160,150,181,Morbi,Morbi,Machchhu-II,Sau,G,47.24,57.3,52.18,87.90,84.10,3.80,21.47,17.67,3.80,24.43%,7,167,NIL,152,0,0
155,203,183,Morbi,Morbi,Machchhu-III,Sau,G,22.35,28.7,27,7.99,6.46,1.53,5.42,3.89,1.53,67.83%,5,333,NIL,70,70,0
152,178,173,Morbi,Tankara,Bangawadi,Sau,FG,36.36,42.65,37.2,7.67,7.58,0.09,0.27,0.18,0.09,3.52%,5,170,NIL,0,0,0
151,172,175,Morbi,Tankara,Demi - I,Sau,FG,53.34,60.35,54.5,22.17,22.10,0.07,1.10,1.03,0.07,4.96%,0,190,NIL,0,0,0
157,164,176,Morbi,Tankara,Demi - II,Sau,G,42,48,44.55,21.33,19.91,1.42,5.07,3.65,1.42,23.77%,26,173,NIL,204,0,0
159,158,180,Morbi,Wankaner,Machchhu - I,Sau,UG,122.53,135.33,132.09,68.95,68.95,0.00,31.60,31.60,0.00,45.83%,50,300,NIL,410,0,0
38,6,13,Narmada,Nandod,Karjan,SG,G,78,115.25,104.89,538.75,514.65,24.10,288.25,264.15,24.10,53.50%,14,353,NIL,2078,214.5,0
36,8,5,Narmada,Sagbara,Chopadvav,SG,FG,176.4,187.4,184.7,7.18,7.18,0.00,3.68,3.68,0.00,51.25%,39,524,NIL,209,0,0
37,11,6,Narmada,Sagbara,Kakdi-Amba,SG,FG,177.21,187.71,184.5,7.31,7.29,0.02,3.44,3.42,0.02,47.06%,4,449,NIL,63,0,0
39,43,2,Navsari,Vansada,Jhuj,SG,UG,147,167.5,162.15,28.65,27.58,1.07,13.28,12.21,1.07,46.35%,16,721,NIL,334.34,0,0
40,44,3,Navsari,Vansada,Kelia,SG,UG,98.1,113.4,109.25,19.98,19.23,0.75,9.17,8.42,0.75,45.90%,24,853,NIL,196.19,0,0
32,20,29,Panchmahal,Ghoghamba,Karad,CG,FG,123.44,140.08,137.25,42.45,40.06,2.39,28.82,26.43,2.39,67.89%,17,631,NIL,40,0,0
31,15,16,Panchmahal,Halol,Deo,CG,G,80,89.65,87.46,67.95,61.35,6.59,40.97,34.38,6.59,60.29%,15,686,NIL,200.11,0,0
168,145,107,Porbandar,Kutiyana,Amipur,Sau,G,3.35,5.64,4.73,30.00,28.85,1.15,15.88,14.72,1.15,52.93%,16,270,NIL,613.1,0,0
