SchemeId,District,Taluka,Name of Schemes,Region,Type (Gated/Ungated/FuseGate),Overflow Spillway Level (m),Full Reservoi Level (m),Gross Storage (MCM),Live Storage (MCM),Dead Storage (MCM)
151,Rajkot,Paddhari,Aji-III,Sau,G,45,53.15,49.75,46.13,3.62
170,Rajkot,Paddhari,Dondi,Sau,G,101,103.72,3.8,2.91,0.89
168,Rajkot,Paddhari,Khodapipar,Sau,G,52.87,55.27,3,2.33,0.67
154,Rajkot,Paddhari,Nyari-II,Sau,G,82.2,88.5,12.25,11.52,0.73
163,Rajkot,Rajkot,Aji - II,Sau,G,64.6,73.76,22.09,20.76,1.33
160,Rajkot,Rajkot,Aji-I,Sau,UG,138.68,147.52,26.43,25.99,0.44
162,Rajkot,Rajkot,Lalpari,Sau,UG,132.89,137.46,5.11,5.11,0
176,Rajkot,Rajkot,Phadangbeti,Sau,UG,185.67,189.25,5.89,5.37,0.52
152,Rajkot,Upleta,Moj,Sau,G,59.14,72.54,36.69,36.69,0
171,Rajkot,Upleta,Sodvadar,Sau,UG,69.65,76.7,4.84,4.58,0.26
153,Rajkot,Upleta,Venu-II,Sau,G,49,55,22.58,18.8,3.78
180,Rajkot,Vinchhiya,Dhari,Sau,UG,44.5,49.07,3.01,2.52,0.49
181,Rajkot,Vinchhiya,Malgadh,Sau,UG,153.67,159.37,2.64,2.53,0.11
28,Sabarkantha,Himatnagar,Guhai,NG,G,164.75,173,68.75,61.22,7.53
197,Sabarkantha,Khedbrahma,Khedva,NG,G,253.6,259.7,7.63,6.68,0.95
201,Sabarkantha,Talod,Gorathiya,NG,G,105.25,110.43,4.15,3.25,0.9
32,Sabarkantha,Talod,Javanpura,NG,G,86.43,91,2.5,2.35,0.15
33,Sabarkantha,Vijaynagar,Harnav-II,NG,G,317.5,332,21.67,19.97,1.7
39,Surat,Mandvi,Lakhigam,SG,UG,67.1,74.1,4.26,4.06,0.2
38,Surat,Mandvi,Ver-II,SG,G,101,115.8,31.88,31.72,0.16
191,Surendranagar,Chotila,Morshal,Sau,UG,173.1,177,3.25,3.05,0.2
