SrNo.,SchemeId,LocationId,District,Taluka,Name of Schemes,Region,Type,OSL,FRL,PWL,Design Storage in MCM,,,Present Storage in MCM,,,PercentageFilling %,RF,CRF,Type ofWarning,InflowinCusecs,OutflowRiverinCusecs,outflowCanalinCusecs
,,,,,,,,,,,Gross,Live,Dead,Gross,Live,Dead,,,,,,,
122,98,127,Jamnagar,Kalavad,Fulzar-I,Sau,UG,17.98,24.69,24.4,11.36,11.22,0.14,10.22,10.08,0.14,89.96%,0,240,ALERT,0,0,0
133,113,121,Jamnagar,Kalavad,Phophal-II,Sau,UG,125,129.33,125.8,6.13,5.89,0.24,0.57,0.33,0.24,9.30%,0,255,NIL,20,0,0
131,121,161,Jamnagar,Kalavad,Und-III,Sau,UG,106.6,110.6,107.7,4.69,3.89,0.80,1.36,0.56,0.80,29.00%,0,180,NIL,0,0,0
129,116,150,Jamnagar,Lalpur,Fulzar-II,Sau,UG,47.55,52.12,51,3.10,2.83,0.27,1.81,1.54,0.27,58.39%,30,255,NIL,100,0,0
115,102,151,Jamnagar,Lalpur,Puna,Sau,UG,19.81,24.39,22.86,7.83,7.77,0.06,3.44,3.38,0.06,43.93%,0,130,NIL,0,0,0
132,120,152,Jamnagar,Lalpur,Rupavati,Sau,UG,72.75,77.3,73.8,2.76,2.63,0.13,0.36,0.23,0.13,13.04%,5,295,NIL,0,0,0
121,96,153,Jamnagar,Lalpur,Sasoi,Sau,UG,22.25,28.95,27.88,37.97,37.97,0.00,27.06,27.06,0.00,71.27%,0,160,WARNING,0,0,0
119,205,154,Jamnagar,Lalpur,Sasoi-II,Sau,UG,100,104.4,102.75,2.43,2.02,0.41,1.15,0.74,0.41,47.33%,0,220,NIL,235,0,0
140,139,97,Junagadh,Bhesan,Mota-Gujariya,Sau,UG,132.77,140.02,138.45,7.64,7.55,0.09,4.13,4.04,0.09,54.06%,0,335,NIL,0,0,0
136,128,101,Junagadh,Bhesan,Uben,Sau,UG,100.61,107.61,102.8,16.20,15.60,0.60,2.34,1.74,0.60,14.44%,0,180,NIL,0,0,0
149,131,102,Junagadh,Junagadh,Hasanapur,Sau,UG,137.77,148.13,145.69,8.40,8.19,0.21,5.34,5.13,0.21,63.57%,0,270,NIL,0,0,0
148,132,98,Junagadh,Junagadh,Ozat-II,Sau,G,72.5,77.5,76.2,36.20,27.71,8.49,27.03,18.54,8.49,74.67%,2,505,WARNING,435,435,0
146,133,105,Junagadh,Maliya Hatina,Vrajmi,Sau,G,84.6,94,84.57,10.35,10.10,0.25,0.25,0.00,0.25,2.42%,0,385,NIL,0,0,0
143,136,106,Junagadh,Manavadar,Bantva-Kharo,Sau,G,13.8,16.25,16,6.68,5.76,0.92,5.62,4.71,0.92,84.13%,0,375,ALERT,258.23,258.23,0
137,140,91,Junagadh,Mendarda,Hiran-I,Sau,UG,31.24,44.2,40.53,20.22,19.64,0.58,11.15,10.57,0.58,55.14%,0,527,NIL,0,0,0
147,129,103,Junagadh,Mendarda,Madhuvanti,Sau,UG,149.65,165.19,161.74,11.65,11.30,0.35,5.94,5.59,0.35,50.99%,4,425,NIL,14.71,0,0
142,137,99,Junagadh,Vanthali,Ozat-Weir,Sau,G,29.8,32.8,30,1.95,1.88,0.07,0.09,0.02,0.07,4.62%,0,515,NIL,1165.4,1165.4,0
141,138,100,Junagadh,Vanthali,Ozat-Weir(Vanthali),Sau,G,25,27.5,25.2,1.79,1.54,0.25,0.34,0.09,0.25,18.99%,0,452,NIL,1440.85,1440.85,0
138,198,104,Junagadh,Vanthali,Sabali,Sau,G,39.05,43.75,41.5,7.20,6.14,1.06,2.80,1.74,1.06,38.89%,0,416,NIL,129,129,0
145,134,94,Junagadh,Visavadar,Ambajal,Sau,G,171.8,182.31,180.5,10.55,9.60,0.95,7.62,6.67,0.95,72.23%,0,400,WARNING,314.04,314.04,0
144,135,95,Junagadh,Visavadar,Draphad,Sau,G,117.5,124,122.7,9.62,9.29,0.33,6.35,6.02,0.33,66.01%,0,292,NIL,51.09,0,0
139,141,96,Junagadh,Visavadar,Jhanjeshri,Sau,UG,140.15,149.96,145.55,10.03,9.79,0.24,3.20,2.96,0.24,31.90%,0,219,NIL,0,0,0
150,130,93,Junagadh,Visavadar,Prempara,Sau,UG,120.5,127.5,120,1.33,1.27,0.06,0.03,0.00,0.03,2.26%,0,393,NIL,38.4,0,0
62,60,201,Kachchh,Abdasa,Berachia,Kutch,UG,65.7,70.4,70.4,6.86,5.51,1.35,6.86,5.51,1.35,100%,6,390,HIGHALERT,418.48,418.48,0
60,58,199,Kachchh,Abdasa,Jangdia,Kutch,UG,34.7,38.6,35.5,9.04,6.85,2.19,3.03,0.84,2.19,33.52%,6,183,NIL,0,0,0
54,52,202,Kachchh,Abdasa,Kankawati,Kutch,UG,123.74,131.67,131.67,10.51,9.83,0.68,10.50,9.82,0.68,99.90%,24,526,HIGHALERT,922.63,922.63,0
65,64,200,Kachchh,Abdasa,Mitti,Kutch,UG,14.45,18.65,17.9,20.24,16.27,3.96,15.77,11.81,3.96,77.92%,46,229,WARNING,1104.4,0,0
47,45,206,Kachchh,Anjar,Tappar,Kutch,G,29.87,40.85,39.29,49.03,48.79,0.24,34.15,33.91,0.24,69.65%,24,169,NIL,952.48,0,0
56,54,191,Kachchh,Bhuj,Kaila,Kutch,UG,65.24,79.25,79.25,8.54,8.54,0.00,8.54,8.54,0.00,100%,10,315,HIGHALERT,1134.31,0,0
58,56,189,Kachchh,Bhuj,Kaswati,Kutch,UG,43.89,51.2,46.3,8.20,7.96,0.24,1.47,1.23,0.24,17.93%,0,180,NIL,57.2,0,0
50,48,190,Kachchh,Bhuj,Rudramata,Kutch,UG,54.55,66.44,59.1,59.92,54.97,4.95,17.51,12.56,4.95,29.22%,6,237,NIL,594.45,0,0
48,46,198,Kachchh,Lakhpat,Godhatad,Kutch,UG,16.35,23,20.1,13.99,12.69,1.30,6.35,5.05,1.30,45.39%,10,113,NIL,0,0,0
51,49,196,Kachchh,Lakhpat,Nara,Kutch,UG,18.28,27.43,22.6,39.70,38.21,1.49,9.87,8.38,1.49,24.86%,0,71,NIL,168.2,0,0
49,47,197,Kachchh,Lakhpat,Sanandro,Kutch,UG,51.2,59.75,54.2,10.35,10.10,0.25,1.45,1.20,0.25,14.01%,11,84,NIL,458,0,0
46,63,203,Kachchh,Mandvi,Don,Kutch,UG,44.6,47.75,47.75,2.28,1.39,0.89,2.28,1.39,0.89,100%,17,312,HIGHALERT,340,340,0
59,57,204,Kachchh,Mundra,Gajod,Kutch,UG,82.3,90.85,86.73,7.71,7.37,0.34,2.47,2.13,0.34,32.04%,10,235,NIL,217,0,0
64,62,205,Kachchh,Mundra,Kalaghogha,Kutch,UG,31.5,37,37,4.98,4.26,0.72,4.98,4.26,0.72,100%,25,430,HIGHALERT,19,19,0
53,51,193,Kachchh,Nakhatrana,Bhukhi,Kutch,UG,62.05,73,69.5,15.58,14.58,1.00,7.75,6.75,1.00,49.74%,13,236,NIL,1542,0,0
63,61,195,Kachchh,Nakhatrana,Gajansar,Kutch,UG,26.21,30,29.2,5.98,3.90,2.08,5.06,2.98,2.08,84.62%,0,82,ALERT,269,0,0
55,53,194,Kachchh,Nakhatrana,Mathal,Kutch,UG,73.44,83.18,82.7,12.29,11.19,1.10,10.45,9.35,1.10,85.03%,56,343,ALERT,992.88,0,0
52,50,192,Kachchh,Nakhatrana,Niruna,Kutch,UG,34.44,43.58,43.58,27.17,22.98,4.19,27.17,22.98,4.19,100%,10,310,HIGHALERT,250,250,0
61,59,187,Kachchh,Rapar,Fatehgadh,Kutch,UG,19.5,22.7,21.4,4.04,3.99,0.05,1.36,1.30,0.05,33.66%,0,102,NIL,0,0,0
57,55,188,Kachchh,Rapar,Suvi,Kutch,UG,38.1,42.67,41,8.85,8.13,0.71,3.94,3.23,0.71,44.52%,0,284,NIL,0,0,0
26,202,42,Kheda,Kapadvanj,Varansi,CG,G,78,81,76.43,3.18,2.62,0.56,0.20,0.00,0.20,6.29%,0,198,NIL,0,0,0
10,13,32,Mahesana,Satlasana,Dharoi,NG,G,175.87,189.59,186.655,813.14,745.63,67.51,535.65,468.14,67.51,65.87%,0,637,NIL,1343,0,0
28,12,28,Mahisagar,Balasinor,Wanakbori,CG,UG,60.05,67.3,67.43,41.88,36.22,5.66,41.88,36.22,5.66,100%,0,250,NIL,1504,1204,300
30,17,19,Mahisagar,Kadana,Kadana,CG,G,99.06,127.71,121.24,1249.30,1191.70,57.60,673.09,615.49,57.60,53.88%,0,244,NIL,6018,0,0
27,19,20,Mahisagar,Khanpur,Bhadar (P),CG,G,110.95,123.72,116.3,30.95,29.23,1.72,7.78,6.06,1.72,25.14%,0,179,NIL,0,0,0
29,14,27,Mahisagar,Lunawada,Panam,CG,G,106.68,127.41,125.15,578.19,552.97,25.22,435.06,409.84,25.22,75.25%,4,383,WARNING,933,0,0
153,189,184,Morbi,Halvad,Brahmani,Sau,UG,56.39,64.62,64.62,58.33,56.29,2.04,58.33,56.29,2.04,100%,0,153,HIGHALERT,0,0,0
154,200,185,Morbi,Halvad,Brahmani-II,Sau,G,39.15,44.5,42.95,19.80,18.50,1.30,11.15,9.85,1.30,56.31%,0,175,NIL,0,0,0
158,112,177,Morbi,Morbi,Demi - III,Sau,G,21.65,25.6,19.35,9.60,8.47,1.13,0.26,0.00,0.26,2.71%,0,195,NIL,0,0,0
156,166,182,Morbi,Morbi,Ghodadhroi,Sau,G,93.12,98.3,97.85,6.88,5.55,1.33,6.25,4.92,1.33,90.84%,5,195,HIGHALERT,0,0,0
160,150,181,Morbi,Morbi,Machchhu-II,Sau,G,47.24,57.3,53.14,87.90,84.10,3.80,29.15,25.35,3.80,33.16%,16,209,NIL,404,0,0
155,203,183,Morbi,Morbi,Machchhu-III,Sau,G,22.35,28.7,27,7.99,6.46,1.53,5.42,3.89,1.53,67.83%,8,392,NIL,139,139,0
152,178,173,Morbi,Tankara,Bangawadi,Sau,FG,36.36,42.65,37.3,7.67,7.58,0.09,0.31,0.22,0.09,4.04%,0,180,NIL,15,0,0
151,172,175,Morbi,Tankara,Demi - I,Sau,FG,53.34,60.35,55,22.17,22.10,0.07,1.85,1.78,0.07,8.34%,0,200,NIL,0,0,0
157,164,176,Morbi,Tankara,Demi - II,Sau,G,42,48,44.7,21.33,19.91,1.42,5.40,3.98,1.42,25.32%,24,227,NIL,50,0,0
159,158,180,Morbi,Wankaner,Machchhu - I,Sau,UG,122.53,135.33,132.92,68.95,68.95,0.00,37.64,37.64,0.00,54.59%,0,310,NIL,772,0,0
38,6,13,Narmada,Nandod,Karjan,SG,G,78,115.25,107.14,538.75,514.65,24.10,332.39,308.29,24.10,61.70%,0,397,NIL,4353,429,0
36,8,5,Narmada,Sagbara,Chopadvav,SG,FG,176.4,187.4,185.4,7.18,7.18,0.00,4.48,4.48,0.00,62.40%,0,596,NIL,0,0,0
37,11,6,Narmada,Sagbara,Kakdi-Amba,SG,FG,177.21,187.71,185.3,7.31,7.29,0.02,4.27,4.25,0.02,58.41%,0,495,NIL,44,0,0
39,43,2,Navsari,Vansada,Jhuj,SG,UG,147,167.5,165.35,28.65,27.58,1.07,19.55,18.48,1.07,68.24%,5,915,NIL,527.27,0,0
40,44,3,Navsari,Vansada,Kelia,SG,UG,98.1,113.4,111.6,19.98,19.23,0.75,13.57,12.82,0.75,67.92%,15,1084,NIL,286.11,0,0
32,20,29,Panchmahal,Ghoghamba,Karad,CG,FG,123.44,140.08,137.3,42.45,40.06,2.39,29.02,26.63,2.39,68.36%,0,631,NIL,0,0,0
31,15,16,Panchmahal,Halol,Deo,CG,G,80,89.65,86.26,67.95,61.35,6.59,31.53,24.94,6.59,46.40%,10,757,NIL,0,2439.64,0
